n,list-addlast-notail.time
0,0
500,0
1000,1
1500,2
2000,4
2500,8
3000,11
3500,15
4000,8
4500,19
5000,18
5500,29
6000,38
6500,38
7000,45
7500,55
8000,70
8500,68
9000,85
9500,88
10000,101
10500,118
11000,130
11500,144
12000,152
12500,169
13000,170
13500,188
14000,201
14500,214
