n,list-addlast-notail.time
0,0
500,2
1000,2
1500,3
2000,5
2500,7
3000,10
3500,16
4000,20
4500,25
5000,29
5500,39
6000,41
6500,44
7000,52
7500,64
8000,74
8500,82
9000,92
9500,106
10000,111
10500,123
11000,135
11500,148
12000,164
12500,179
13000,189
13500,206
14000,215
14500,229
