n,doubling.ticks
53301,249905
53401,250005
53501,250105
53601,250205
53701,250305
53801,250405
53901,250505
54001,250605
54101,250705
54201,250805
54301,250905
54401,251005
54501,251105
54601,251205
54701,251305
54801,251405
54901,251505
55001,251605
55101,251705
55201,251805
55301,251905
55401,252005
55501,252105
55601,252205
55701,252305
55801,252405
55901,252505
56001,252605
56101,252705
56201,252805
56301,252905
56401,253005
56501,253105
56601,253205
56701,253305
56801,253405
56901,253505
57001,253605
57101,253705
57201,253805
57301,253905
57401,254005
57501,254105
57601,254205
57701,254305
57801,254405
57901,254505
58001,254605
58101,254705
58201,254805
58301,254905
58401,255005
58501,255105
58601,255205
58701,255305
58801,255405
58901,255505
59001,255605
59101,255705
59201,255805
59301,255905
59401,256005
59501,256105
59601,256205
59701,256305
59801,256405
59901,256505
60001,256605
60101,256705
60201,256805
60301,256905
60401,257005
60501,257105
60601,257205
60701,257305
60801,257405
60901,257505
61001,257605
61101,257705
61201,257805
61301,257905
61401,258005
61501,258105
61601,258205
61701,258305
61801,258405
61901,258505
62001,258605
62101,258705
62201,258805
62301,258905
62401,259005
62501,259105
62601,259205
62701,259305
62801,259405
62901,259505
63001,259605
63101,259705
63201,259805
63301,259905
63401,260005
63501,260105
63601,260205
63701,260305
63801,260405
63901,260505
64001,260605
64101,260705
64201,260805
64301,260905
64401,261005
64501,261105
64601,261205
64701,261305
64801,261405
64901,261505
65001,261605
65101,261705
65201,261805
65301,261905
65401,262005
65501,262105
65601,458813
65701,458913
65801,459013
65901,459113
66001,459213
66101,459313
66201,459413
66301,459513
66401,459613
66501,459713
66601,459813
66701,459913
66801,460013
66901,460113
67001,460213
67101,460313
67201,460413
67301,460513
67401,460613
67501,460713
67601,460813
67701,460913
67801,461013
67901,461113
68001,461213
68101,461313
68201,461413
68301,461513
68401,461613
68501,461713
68601,461813
68701,461913
68801,462013
68901,462113
69001,462213
69101,462313
69201,462413
69301,462513
69401,462613
69501,462713
69601,462813
69701,462913
69801,463013
69901,463113
70001,463213
70101,463313
70201,463413
70301,463513
70401,463613
70501,463713
70601,463813
70701,463913
70801,464013
70901,464113
71001,464213
71101,464313
71201,464413
71301,464513
71401,464613
71501,464713
71601,464813
71701,464913
71801,465013
71901,465113
72001,465213
72101,465313
72201,465413
72301,465513
72401,465613
72501,465713
72601,465813
72701,465913
72801,466013
72901,466113
73001,466213
73101,466313
73201,466413
73301,466513
73401,466613
73501,466713
73601,466813
73701,466913
73801,467013
73901,467113
74001,467213
74101,467313
74201,467413
74301,467513
74401,467613
74501,467713
74601,467813
74701,467913
74801,468013
74901,468113
75001,468213
75101,468313
75201,468413
75301,468513
75401,468613
75501,468713
75601,468813
75701,468913
75801,469013
75901,469113
76001,469213
76101,469313
76201,469413
76301,469513
76401,469613
76501,469713
76601,469813
76701,469913
76801,470013
76901,470113
77001,470213
77101,470313
77201,470413
77301,470513
77401,470613
77501,470713
77601,470813
77701,470913
77801,471013
77901,471113
78001,471213
78101,471313
78201,471413
78301,471513
78401,471613
78501,471713
78601,471813
78701,471913
78801,472013
78901,472113
79001,472213
79101,472313
79201,472413
79301,472513
79401,472613
79501,472713
79601,472813
79701,472913
79801,473013
79901,473113
80001,473213
80101,473313
80201,473413
80301,473513
80401,473613
80501,473713
80601,473813
80701,473913
80801,474013
80901,474113
81001,474213
81101,474313
81201,474413
81301,474513
81401,474613
81501,474713
81601,474813
81701,474913
81801,475013
81901,475113
82001,475213
82101,475313
82201,475413
82301,475513
82401,475613
82501,475713
82601,475813
82701,475913
82801,476013
82901,476113
83001,476213
83101,476313
83201,476413
83301,476513
83401,476613
83501,476713
83601,476813
83701,476913
83801,477013
83901,477113
84001,477213
84101,477313
84201,477413
84301,477513
84401,477613
84501,477713
84601,477813
84701,477913
84801,478013
84901,478113
85001,478213
85101,478313
85201,478413
85301,478513
85401,478613
85501,478713
85601,478813
85701,478913
85801,479013
85901,479113
86001,479213
86101,479313
86201,479413
86301,479513
86401,479613
86501,479713
86601,479813
86701,479913
86801,480013
86901,480113
87001,480213
87101,480313
87201,480413
87301,480513
87401,480613
87501,480713
87601,480813
87701,480913
87801,481013
87901,481113
88001,481213
88101,481313
88201,481413
88301,481513
88401,481613
88501,481713
88601,481813
88701,481913
88801,482013
88901,482113
89001,482213
89101,482313
89201,482413
89301,482513
89401,482613
89501,482713
89601,482813
89701,482913
89801,483013
89901,483113
90001,483213
90101,483313
90201,483413
90301,483513
90401,483613
90501,483713
90601,483813
90701,483913
90801,484013
90901,484113
91001,484213
91101,484313
91201,484413
91301,484513
91401,484613
91501,484713
91601,484813
91701,484913
91801,485013
91901,485113
92001,485213
92101,485313
92201,485413
92301,485513
92401,485613
92501,485713
92601,485813
92701,485913
92801,486013
92901,486113
93001,486213
93101,486313
93201,486413
93301,486513
93401,486613
93501,486713
93601,486813
93701,486913
93801,487013
93901,487113
94001,487213
94101,487313
94201,487413
94301,487513
94401,487613
94501,487713
94601,487813
94701,487913
94801,488013
94901,488113
95001,488213
95101,488313
95201,488413
95301,488513
95401,488613
95501,488713
95601,488813
95701,488913
95801,489013
95901,489113
96001,489213
96101,489313
96201,489413
96301,489513
96401,489613
96501,489713
96601,489813
96701,489913
96801,490013
96901,490113
97001,490213
97101,490313
97201,490413
97301,490513
97401,490613
97501,490713
97601,490813
97701,490913
97801,491013
97901,491113
98001,491213
98101,491313
98201,491413
98301,491513
98401,491613
98501,491713
98601,491813
98701,491913
98801,492013
98901,492113
99001,492213
99101,492313
99201,492413
99301,492513
99401,492613
99501,492713
99601,492813
99701,492913
99801,493013
99901,493113
