n,allocates.time
0,1
500,42
1000,40
1500,44
2000,53
2500,60
3000,74
3500,87
4000,92
4500,98
5000,127
5500,118
6000,123
6500,142
7000,145
7500,148
8000,160
8500,179
9000,180
9500,193
