n,list-addlast-withtail.ticks
0,0
500,1502
1000,3002
1500,4502
2000,6002
2500,7502
3000,9002
3500,10502
4000,12002
4500,13502
5000,15002
5500,16502
6000,18002
6500,19502
7000,21002
7500,22502
8000,24002
8500,25502
9000,27002
9500,28502
10000,30002
10500,31502
11000,33002
11500,34502
12000,36002
12500,37502
13000,39002
13500,40502
14000,42002
14500,43502
