n,list-addlast-notail.time
0,0
500,1
1000,1
1500,2
2000,4
2500,9
3000,12
3500,14
4000,20
4500,26
5000,31
5500,34
6000,42
6500,52
7000,54
7500,63
8000,74
8500,81
9000,91
9500,99
10000,113
10500,123
11000,136
11500,145
12000,157
12500,170
13000,182
13500,199
14000,212
14500,228
