n,allocates.time
0,1
500,44
1000,40
1500,43
2000,54
2500,67
3000,69
3500,80
4000,89
4500,99
5000,113
5500,121
6000,125
6500,139
7000,154
7500,158
8000,159
8500,179
9000,172
9500,191
